idORIG,idYIEFD
12786452,13042404
12755460,12755305
12755460,12755451
12786459,12755460
12786449,13042401
12786455,13042401
12785860,12815305
12785860,15538576
12786459,12785860
12785860,12815305
12755460,12755305
12786158,12755305
12786158,12755305
12786158,15538874
12786449,13042401
12786449,12755451
12786459,12786449
12786455,13042401
12786455,15538579
12786452,13042404
12786452,15538576
12786459,12786452
12786158,15538874
12786459,12755460
12786459,12785860
12786459,12786452
12786459,12786449
12755460,12755451
12786449,12755451
12785860,15538576
12786452,15538576
12786455,15538579
